TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,1080,svchost.exe,0x7ffa1ce20000,0x1a1000,user32.dll,C:\\Windows\\System32\\user32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c320000,0x22000,win32u.dll,C:\\Windows\\System32\\win32u.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c830000,0x2b000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c3e0000,0x119000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c120000,0x9d000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa17090000,0xd7000,schedsvc.dll,c:\\windows\\system32\\schedsvc.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c760000,0xcd000,OLEAUT32.dll,C:\\Windows\\System32\\OLEAUT32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa17040000,0x4a000,UBPM.dll,c:\\windows\\system32\\UBPM.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b8b0000,0x19000,EventAggregation.dll,c:\\windows\\system32\\EventAggregation.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1ba00000,0x12000,UMPDC.dll,c:\\windows\\system32\\UMPDC.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b510000,0x2b000,WLDP.DLL,C:\\Windows\\SYSTEM32\\WLDP.DLL,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1ca60000,0xb1000,advapi32.dll,C:\\Windows\\System32\\advapi32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1a8b0000,0x4f000,AUTHZ.dll,c:\\windows\\system32\\AUTHZ.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1ba20000,0x4b000,POWRPROF.dll,c:\\windows\\system32\\POWRPROF.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa16fa0000,0x11000,WMICLNT.dll,c:\\windows\\system32\\WMICLNT.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1ba70000,0x32000,sspicli.dll,C:\\Windows\\system32\\sspicli.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa16ec0000,0x6c000,taskcomp.dll,C:\\Windows\\system32\\taskcomp.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b460000,0x18000,cryptsp.dll,C:\\Windows\\SYSTEM32\\cryptsp.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
