TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
2,2268,660,svchost.exe,0xdb84c6395300,6,-,0,False,2026-02-17 16:28:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc,C:\\Windows\\system32\\svchost.exe
2,4328,660,svchost.exe,0xdb84c6ecf080,4,-,0,False,2026-02-17 16:29:04.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s TokenBroker,C:\\Windows\\system32\\svchost.exe
2,2284,660,svchost.exe,0xdb84c6eb3080,8,-,0,False,2026-02-17 17:06:14.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV,C:\\Windows\\system32\\svchost.exe
2,2796,660,MsMpEng.exe,0xdb84c65a1340,9,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MsMpEng.exe,"""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MsMpEng.exe""",C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MsMpEng.exe
2,756,660,svchost.exe,0xdb84c1aca280,1,-,0,False,2026-02-17 15:28:52.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,C:\\Windows\\System32\\svchost.exe
2,3316,660,svchost.exe,0xdb84c6789300,2,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc,C:\\Windows\\system32\\svchost.exe
2,1784,660,svchost.exe,0xdb84c2fd5280,2,-,0,False,2026-02-17 16:28:54.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder,C:\\Windows\\System32\\svchost.exe
2,2812,660,svchost.exe,0xdb84c65a2080,4,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s WpnService,C:\\Windows\\system32\\svchost.exe
2,2304,660,svchost.exe,0xdb84c6677080,3,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc,C:\\Windows\\system32\\svchost.exe
2,1800,660,svchost.exe,0xdb84c2fd72c0,5,-,0,False,2026-02-17 16:28:54.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s FontCache,C:\\Windows\\system32\\svchost.exe
