TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,CreateTime_dt,ExitTime_dt
0,4156,1180,sihost.exe,0xdb84c6e0e300,8,-,1.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,2740,660,svchost.exe,0xdb84c6e0b2c0,6,-,0.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,4216,660,svchost.exe,0xdb84c6e980c0,3,-,1.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,4540,4464,ctfmon.exe,0xdb84c6f43300,8,-,1.0,False,2026-02-17 16:29:05 UTC,,Disabled,2026-02-17 16:29:05+00:00,
0,4668,588,userinit.exe,0xdb84c702c080,0,-,1.0,False,2026-02-17 16:29:05 UTC,2026-02-17 16:29:30 UTC,Disabled,2026-02-17 16:29:05+00:00,2026-02-17 16:29:30+00:00
0,4708,4668,explorer.exe,0xdb84c706e080,60,-,1.0,False,2026-02-17 16:29:05 UTC,,Disabled,2026-02-17 16:29:05+00:00,
0,4772,660,svchost.exe,0xdb84c6d60080,7,-,0.0,False,2026-02-17 16:29:06 UTC,,Disabled,2026-02-17 16:29:06+00:00,
0,4692,660,svchost.exe,0xdb84c72350c0,12,-,1.0,False,2026-02-17 16:29:08 UTC,,Disabled,2026-02-17 16:29:08+00:00,
0,5220,780,StartMenuExper,0xdb84c7288340,6,-,1.0,False,2026-02-17 16:29:09 UTC,,Disabled,2026-02-17 16:29:09+00:00,
0,5332,780,RuntimeBroker.,0xdb84c738f080,1,-,1.0,False,2026-02-17 16:29:10 UTC,,Disabled,2026-02-17 16:29:10+00:00,
0,5596,660,svchost.exe,0xdb84c7110080,3,-,1.0,False,2026-02-17 16:29:11 UTC,,Disabled,2026-02-17 16:29:11+00:00,
0,5652,780,SearchApp.exe,0xdb84c6eb2340,45,-,1.0,False,2026-02-17 16:29:11 UTC,,Disabled,2026-02-17 16:29:11+00:00,
0,5832,780,RuntimeBroker.,0xdb84c751f080,6,-,1.0,False,2026-02-17 16:29:12 UTC,,Disabled,2026-02-17 16:29:12+00:00,
0,5984,660,svchost.exe,0xdb84c756d080,1,-,0.0,False,2026-02-17 16:29:13 UTC,,Disabled,2026-02-17 16:29:13+00:00,
0,6152,660,svchost.exe,0xdb84c6eb1080,6,-,0.0,False,2026-02-17 16:29:20 UTC,,Disabled,2026-02-17 16:29:20+00:00,
0,6552,780,RuntimeBroker.,0xdb84c1a9a080,2,-,1.0,False,2026-02-17 16:29:22 UTC,,Disabled,2026-02-17 16:29:22+00:00,
0,5584,4708,SecurityHealth,0xdb84c79f7080,1,-,1.0,False,2026-02-17 16:29:31 UTC,,Disabled,2026-02-17 16:29:31+00:00,
0,5492,660,SecurityHealth,0xdb84c7497280,6,-,0.0,False,2026-02-17 16:29:31 UTC,,Disabled,2026-02-17 16:29:31+00:00,
0,2764,4708,VBoxTray.exe,0xdb84c796c280,11,-,1.0,False,2026-02-17 16:29:32 UTC,,Disabled,2026-02-17 16:29:32+00:00,
0,5452,780,TextInputHost.,0xdb84c7d04080,8,-,1.0,False,2026-02-17 16:29:35 UTC,,Disabled,2026-02-17 16:29:35+00:00,
0,3884,660,svchost.exe,0xdb84c7d5b240,1,-,0.0,False,2026-02-17 16:29:36 UTC,,Disabled,2026-02-17 16:29:36+00:00,
0,3020,660,svchost.exe,0xdb84c7dcf280,8,-,0.0,False,2026-02-17 16:29:36 UTC,,Disabled,2026-02-17 16:29:36+00:00,
0,7020,660,svchost.exe,0xdb84c76f2240,2,-,0.0,False,2026-02-17 16:29:37 UTC,,Disabled,2026-02-17 16:29:37+00:00,
0,7484,6500,M365Copilot.ex,0xdb84c7f6e080,31,-,1.0,False,2026-02-17 16:29:39 UTC,,Disabled,2026-02-17 16:29:39+00:00,
0,7724,780,RuntimeBroker.,0xdb84c77f4080,1,-,1.0,False,2026-02-17 16:29:40 UTC,,Disabled,2026-02-17 16:29:40+00:00,
0,7808,660,svchost.exe,0xdb84c77f0080,3,-,0.0,False,2026-02-17 16:29:40 UTC,,Disabled,2026-02-17 16:29:40+00:00,
0,8000,7956,msedgewebview2,0xdb84c76c0080,7,-,1.0,False,2026-02-17 16:29:41 UTC,,Disabled,2026-02-17 16:29:41+00:00,
0,7956,7484,msedgewebview2,0xdb84c7d56080,47,-,1.0,False,2026-02-17 16:29:41 UTC,,Disabled,2026-02-17 16:29:41+00:00,
0,6168,7956,msedgewebview2,0xdb84c81b6080,16,-,1.0,False,2026-02-17 16:29:42 UTC,,Disabled,2026-02-17 16:29:42+00:00,
0,6444,7956,msedgewebview2,0xdb84c81b7080,12,-,1.0,False,2026-02-17 16:29:42 UTC,,Disabled,2026-02-17 16:29:42+00:00,
0,7344,7956,msedgewebview2,0xdb84c81b8080,8,-,1.0,False,2026-02-17 16:29:42 UTC,,Disabled,2026-02-17 16:29:42+00:00,
0,7980,780,ApplicationFra,0xdb84c76cd080,3,-,1.0,False,2026-02-17 16:30:03 UTC,,Disabled,2026-02-17 16:30:03+00:00,
0,6064,780,UserOOBEBroker,0xdb84c76ce080,4,-,1.0,False,2026-02-17 16:30:04 UTC,,Disabled,2026-02-17 16:30:04+00:00,
0,1460,780,dllhost.exe,0xdb84c8108080,5,-,1.0,False,2026-02-17 16:30:23 UTC,,Disabled,2026-02-17 16:30:23+00:00,
0,3692,660,svchost.exe,0xdb84c80e6080,1,-,0.0,False,2026-02-17 16:30:25 UTC,,Disabled,2026-02-17 16:30:25+00:00,
0,992,4708,powershell.exe,0xdb84c8172080,24,-,1.0,False,2026-02-17 16:30:29 UTC,,Disabled,2026-02-17 16:30:29+00:00,
0,6660,992,conhost.exe,0xdb84c80fb080,4,-,1.0,False,2026-02-17 16:30:30 UTC,,Disabled,2026-02-17 16:30:30+00:00,
0,7648,660,svchost.exe,0xdb84c80f8080,15,-,0.0,False,2026-02-17 16:30:57 UTC,,Disabled,2026-02-17 16:30:57+00:00,
0,7032,660,svchost.exe,0xdb84c8080080,3,-,0.0,False,2026-02-17 16:30:58 UTC,,Disabled,2026-02-17 16:30:58+00:00,
0,2864,660,SgrmBroker.exe,0xdb84c76cb080,7,-,0.0,False,2026-02-17 16:30:58 UTC,,Disabled,2026-02-17 16:30:58+00:00,
0,7280,660,svchost.exe,0xdb84c7d10080,4,-,0.0,False,2026-02-17 16:30:58 UTC,,Disabled,2026-02-17 16:30:58+00:00,
0,4164,660,svchost.exe,0xdb84c8021080,8,-,0.0,False,2026-02-17 16:30:59 UTC,,Disabled,2026-02-17 16:30:59+00:00,
0,7080,660,svchost.exe,0xdb84c7a0f080,0,-,0.0,False,2026-02-17 16:31:54 UTC,2026-02-17 16:32:00 UTC,Disabled,2026-02-17 16:31:54+00:00,2026-02-17 16:32:00+00:00
0,7860,780,ShellExperienc,0xdb84c76cc080,14,-,1.0,False,2026-02-17 16:33:00 UTC,,Disabled,2026-02-17 16:33:00+00:00,
0,7720,780,RuntimeBroker.,0xdb84c80f2080,2,-,1.0,False,2026-02-17 16:33:02 UTC,,Disabled,2026-02-17 16:33:02+00:00,
0,2712,660,svchost.exe,0xdb84c7dab080,2,-,0.0,False,2026-02-17 16:33:06 UTC,,Disabled,2026-02-17 16:33:06+00:00,
0,7068,7956,msedgewebview2,0xdb84c80c7300,15,-,1.0,False,2026-02-17 16:33:07 UTC,,Disabled,2026-02-17 16:33:07+00:00,
0,2284,660,svchost.exe,0xdb84c6eb3080,8,-,0.0,False,2026-02-17 17:06:14 UTC,,Disabled,2026-02-17 17:06:14+00:00,
0,6904,1620,msedgewebview2,0xdb84c80e8080,10,-,1.0,False,2026-02-17 17:32:59 UTC,,Disabled,2026-02-17 17:32:59+00:00,
0,2600,780,SearchApp.exe,0xdb84c80eb080,14,-,1.0,False,2026-02-17 17:32:59 UTC,,Disabled,2026-02-17 17:32:59+00:00,
0,1620,2600,msedgewebview2,0xdb84c6fb3080,57,-,1.0,False,2026-02-17 17:32:59 UTC,,Disabled,2026-02-17 17:32:59+00:00,
0,1888,1620,msedgewebview2,0xdb84c85ea080,22,-,1.0,False,2026-02-17 17:33:05 UTC,,Disabled,2026-02-17 17:33:05+00:00,
0,308,1620,msedgewebview2,0xdb84c901b080,18,-,1.0,False,2026-02-17 17:33:05 UTC,,Disabled,2026-02-17 17:33:05+00:00,
0,4476,1620,msedgewebview2,0xdb84c81ca240,10,-,1.0,False,2026-02-17 17:33:05 UTC,,Disabled,2026-02-17 17:33:05+00:00,
0,256,1620,msedgewebview2,0xdb84c80c9080,18,-,1.0,False,2026-02-17 17:33:06 UTC,,Disabled,2026-02-17 17:33:06+00:00,
0,4556,8584,msedge.exe,0xdb84c84c6080,0,-,1.0,False,2026-02-17 18:09:13 UTC,2026-02-17 18:11:52 UTC,Disabled,2026-02-17 18:09:13+00:00,2026-02-17 18:11:52+00:00
0,4152,4556,msedge.exe,0xdb84c7a0e080,0,-,1.0,False,2026-02-17 18:09:20 UTC,2026-02-17 18:11:52 UTC,Disabled,2026-02-17 18:09:20+00:00,2026-02-17 18:11:52+00:00
0,5412,4556,msedge.exe,0xdb84c7a3b080,0,-,1.0,False,2026-02-17 18:09:20 UTC,2026-02-17 18:12:00 UTC,Disabled,2026-02-17 18:09:20+00:00,2026-02-17 18:12:00+00:00
0,552,4556,msedge.exe,0xdb84c807c080,0,-,1.0,False,2026-02-17 18:09:23 UTC,2026-02-17 18:12:00 UTC,Disabled,2026-02-17 18:09:23+00:00,2026-02-17 18:12:00+00:00
0,916,4556,msedge.exe,0xdb84cabee080,0,-,1.0,False,2026-02-17 18:09:36 UTC,2026-02-17 18:11:50 UTC,Disabled,2026-02-17 18:09:36+00:00,2026-02-17 18:11:50+00:00
0,8784,4556,msedge.exe,0xdb84cb1f2080,0,-,1.0,False,2026-02-17 18:10:11 UTC,2026-02-17 18:11:50 UTC,Disabled,2026-02-17 18:10:11+00:00,2026-02-17 18:11:50+00:00
0,1692,4556,msedge.exe,0xdb84c816a080,0,-,1.0,False,2026-02-17 18:10:46 UTC,2026-02-17 18:11:52 UTC,Disabled,2026-02-17 18:10:46+00:00,2026-02-17 18:11:52+00:00
0,4020,4556,msedge.exe,0xdb84c80e9080,0,-,1.0,False,2026-02-17 18:11:03 UTC,2026-02-17 18:11:51 UTC,Disabled,2026-02-17 18:11:03+00:00,2026-02-17 18:11:51+00:00
0,3708,4556,msedge.exe,0xdb84c80fa080,0,-,1.0,False,2026-02-17 18:11:06 UTC,2026-02-17 18:11:52 UTC,Disabled,2026-02-17 18:11:06+00:00,2026-02-17 18:11:52+00:00
0,2644,4556,msedge.exe,0xdb84c9ab2080,0,-,1.0,False,2026-02-17 18:11:06 UTC,2026-02-17 18:11:51 UTC,Disabled,2026-02-17 18:11:06+00:00,2026-02-17 18:11:51+00:00
0,8508,2988,msedge.exe,0xdb84cb50c080,0,-,1.0,False,2026-02-17 18:11:45 UTC,2026-02-17 18:15:42 UTC,Disabled,2026-02-17 18:11:45+00:00,2026-02-17 18:15:42+00:00
0,5352,2988,msedge.exe,0xdb84cb74d080,0,-,1.0,False,2026-02-17 18:11:45 UTC,2026-02-17 18:15:42 UTC,Disabled,2026-02-17 18:11:45+00:00,2026-02-17 18:15:42+00:00
0,4028,2988,msedge.exe,0xdb84c7a0c080,0,-,1.0,False,2026-02-17 18:11:46 UTC,2026-02-17 18:15:52 UTC,Disabled,2026-02-17 18:11:46+00:00,2026-02-17 18:15:52+00:00
0,6036,2988,msedge.exe,0xdb84cabf0080,0,-,1.0,False,2026-02-17 18:11:46 UTC,2026-02-17 18:15:42 UTC,Disabled,2026-02-17 18:11:46+00:00,2026-02-17 18:15:42+00:00
0,9512,660,svchost.exe,0xdb84cb51a080,2,-,0.0,False,2026-02-17 18:11:51 UTC,,Disabled,2026-02-17 18:11:51+00:00,
