PID,Process,MatchedText,MatchedKeyword,Tactic,Technique,TechniqueName,ATT&CK_URL
376,dwm.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
820,fontdrvhost.ex,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5000,MicrosoftEdgeU,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4960,taskhostw.exe,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4804,svchost.exe,C:\\Windows\\system32\\Secur32.dll,secur32.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
1112,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
1100,svchost.exe,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
520,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
5012,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
3800,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4676,StartMenuExper,C:\\Windows\\System32\\bcryptPrimitives.dll,bcryptprimitives.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
2772,MpDefenderCore,C:\\Windows\\SYSTEM32\\profapi.dll,profapi.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4772,svchost.exe,C:\\Windows\\System32\\CRYPT32.dll,crypt32.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4728,sihost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
3572,dllhost.exe,C:\\Windows\\SYSTEM32\\CRYPTBASE.DLL,cryptbase.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
3796,svchost.exe,C:\\Windows\\SYSTEM32\\cryptsp.dll,cryptsp.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4056,svchost.exe,C:\\Windows\\SYSTEM32\\cryptsp.dll,cryptsp.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4360,ctfmon.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
2860,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
2728,svchost.exe,C:\\Windows\\SYSTEM32\\profapi.dll,profapi.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
2844,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
4148,svchost.exe,C:\\Windows\\System32\\CRYPT32.dll,crypt32.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
2832,MsMpEng.exe,C:\\Windows\\SYSTEM32\\CRYPT32.dll,crypt32.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
2824,svchost.exe,C:\\Windows\\System32\\bcrypt.dll,bcrypt.dll,Defense Evasion,T1574.001,DLL Search Order Hijacking,https://attack.mitre.org/techniques/T1574/001
